Kaina	Miestas	Rajonas	Raj	Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai
450000	Vilnius	Zirmunai	1	1	1	4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	150	6	5	1940
475000	Vilnius	Salininkai	1	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	143	6	13	2003
3497000	Vilnius	Snipiskes	3	2	3	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Blokinis	363	7	3	2006
625000	Vilnius	Visoriai	2	1	3	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	147	1	10	2004
435000	Vilnius	Balsiai	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	160	6	13	2010
930000	Vilnius	Antakalnis	2	1	2	5	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	210	4	5	2011
340000	Vilnius	Antakalnis	2	1	2	3	Namas	3	Reikia	1	1	Dalinai irengtas	Nauja	Murinis	Murinis	125	6	7	2011
160000	Vilnius	Balsiai	1	1	2	3	Namas	1	Reikia	1	2	Irengtas	Nenauja	Murinis	Murinis	56	6	14	1986
315000	Vilnius	Pavilnys	1	1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	88	15	7	2010
1500000	Vilnius	Zverynas	4	3	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	209	3	2	2001
430000	Vilnius	Salininkai	1	1	2	4	Namas	3	Reikia	1	3	Irengtas	Nauja	Murinis	Murinis	150	12	13	2009
299000	Vilnius	Aukstieji Paneriai	1	1	2	4	Namas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	128	6	14	2011
1650000	Vilnius	Zujunai	3	2	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	270	10	11	2009
399000	Vilnius	Tarande	1	1	2	4	Namas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Blokinis	120	3	10	2011
920000	Vilnius	Uzupis	4	3	4	5	Namas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	110	6	3	1940
2070000	Vilnius	Uzupis	4	3	4	6	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	295	5	2	2004
480000	Vilnius	Pilaite	2	1	2	8	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	319	6	8	2009
850000	Vilnius	Bajorai	2	1	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	217	6	12	2008
370000	Vilnius	Santariskes	3	2	3	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	180	5	8	2010
1200000	Vilnius	Antakalnis	2	1	2	5	Namas	3	Reikia	0	2	Irengtas	Nauja	Murinis	Murinis	280	12	11	2005
750000	Vilnius	Zujunai	3	2	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	160	8	11	2008
220000	Vilnius	Antakalnis	2	1	2	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Blokinis	140	3	7	2010
639000	Vilnius	Santariskes	3	2	3	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	162	6	8	2001
980000	Vilnius	Grigiskes	3	2	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	241	21	16	2010
750000	Vilnius	Santariskes	3	2	3	6	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	333	2	8	1996
300000	Vilnius	Traku Voke	2	1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	286	10	15	2009
998000	Vilnius	Traku Voke	2	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	270	20	15	2007
599999	Vilnius	Visoriai	2	1	3	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	177	6	10	2008
299000	Vilnius	Traku Voke	2	1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	230	15	15	2010
619000	Vilnius	Antakalnis	2	1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	188	6	7	2007
429000	Vilnius	Aukstieji Paneriai	1	1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	168	8	14	2011
1580000	Vilnius	Santariskes	3	2	3	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	277	4	8	2009
263000	Vilnius	Zemieji Paneriai	1	1	1	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	170	6	9	2010
595000	Vilnius	Bajorai	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	200	7	12	2011
550000	Vilnius	Tarande	1	1	2	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	270	8	10	2007
599999	Vilnius	Baltupiai	3	2	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	177	6	7	2008
830000	Vilnius	Baltupiai	3	2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	204	3	6	1992
1200000	Vilnius	Baltupiai	3	2	2	4	Kotedzas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	20	4	6	2000
590000	Vilnius	Dvarcionys	2	1	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	250	11	10	1997
480000	Vilnius	Dvarcionys	2	1	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	205	9	10	1992
109000	Vilnius	Snipiskes	3	2	3	3	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	54	2	3	1940
450000	Vilnius	Snipiskes	3	2	3	2	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	29	2	3	1940
815000	Vilnius	Vilkpede	2	1	2	8	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	260	6	5	2000
250000	Vilnius	Zirmunai	1	1	1	1	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Nemurinis	Medinis	30	2	5	1933
545000	Vilnius	Pagiriai	2	1	1	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	300	30	18	1995
699000	Vilnius	Pagiriai	2	1	1	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	250	15	18	2010
490000	Vilnius	Kalnenai	2	1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	143	4	6	2010
1250000	Vilnius	Snipiskes	3	2	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	294	7	3	2008
799000	Vilnius	Zujunai	3	2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	242	8	11	2009
517000	Vilnius	Zujunai	3	2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	233	20	11	1990
440000	Vilnius	Kalnenai	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	182	5	6	2011
650000	Vilnius	Dvarcionys	2	1	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	390	9	12	1992
250000	Vilnius	Dvarcionys	2	1	2	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	Nemurinis	Medinis	90	8	12	2008
680000	Vilnius	Dvarcionys	2	1	2	5	Namas	3	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	220	10	8	2009
619000	Vilnius	Dvarcionys	2	1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	188	6	12	2007
449000	Vilnius	Aukstieji Paneriai	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	10	13	2010
344000	Vilnius	Aukstieji Paneriai	1	1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	116	4	13	2011
350000	Vilnius	Aukstieji Paneriai	1	1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	240	15	13	2011
399000	Vilnius	Aukstieji Paneriai	1	1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	166	8	13	2011
399000	Vilnius	Aukstieji Paneriai	1	1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	148	9	13	2011
749000	Vilnius	Aukstieji Paneriai	1	1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	300	19	14	2009
449000	Vilnius	Aukstieji Paneriai	1	1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	168	8	14	2011
409000	Vilnius	Aukstieji Paneriai	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	10	14	2011
395000	Vilnius	Aukstieji Paneriai	1	1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	147	9	14	2011
349000	Vilnius	Aukstieji Paneriai	1	1	2	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	128	6	13	2011
130000	Vilnius	Aukstieji Paneriai	1	1	2	4	Namas	2	Reikia	0	2	Irengtas	Nenauja	Murinis	Blokinis	97	7	13	1979
300000	Vilnius	Aukstieji Paneriai	1	1	2	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	286	10	15	2009
409000	Vilnius	Aukstieji Paneriai	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	11	13	2010
549000	Vilnius	Aukstieji Paneriai	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	250	19	15	2009
899000	Vilnius	Aukstieji Paneriai	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	216	19	14	2006
720000	Vilnius	Aukstieji Paneriai	1	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	148	6	15	2009
790000	Vilnius	Bajorai	2	1	2	7	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	480	7	8	1996
599000	Vilnius	Bajorai	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	205	7	5	2010
1100000	Vilnius	Bajorai	2	1	2	9	Namas	4	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	438	11	11	1996
750000	Vilnius	Bajorai	2	1	2	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	260	7	10	2009
970000	Vilnius	Bajorai	2	1	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	208	6	11	2008
500000	Vilnius	Bajorai	2	1	2	5	Namas	3	Nereikia	0	1	Neirengtas	Nauja	Murinis	Murinis	200	9	15	2009
450000	Vilnius	Bajorai	2	1	2	5	Namas	4	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	295	5	11	2008
490000	Vilnius	Bajorai	2	1	2	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	138	6	11	2007
1000000	Vilnius	Bajorai	2	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	217	6	11	2008
580000	Vilnius	Bajorai	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	178	10	11	2007
920000	Vilnius	Bajorai	2	1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	202	13	15	2007
649000	Vilnius	Bajorai	2	1	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	200	8	10	2008
719000	Vilnius	Bajorai	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	215	6	11	2007
850000	Vilnius	Bajorai	2	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	217	6	11	2008
615000	Vilnius	Bajorai	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	240	7	5	2010
629000	Vilnius	Bajorai	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	184	6	11	2008
690000	Vilnius	Bajorai	2	1	2	6	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Blokinis	170	9	8	2004
625000	Vilnius	Bajorai	2	1	2	4	Kotedzas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	172	3	10	2009
420000	Vilnius	Bajorai	2	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	285	5	11	2008
750000	Vilnius	Bajorai	2	1	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	259	11	11	1997
999999	Vilnius	Bajorai	2	1	2	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	216	6	11	2008
269000	Vilnius	Bajorai	2	1	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	160	8	10	1980
639000	Vilnius	Bajorai	2	1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	162	6	11	2001
715000	Vilnius	Bajorai	2	1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	200	6	11	2006
880000	Vilnius	Bajorai	2	1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	207	15	11	2010
515000	Vilnius	Bajorai	2	1	2	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	97	6	10	2004
970000	Vilnius	Bajorai	2	1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	208	6	11	2008
395000	Vilnius	Balsiai	1	1	2	6	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	186	8	20	2008
395000	Vilnius	Balsiai	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	193	12	17	2008
485000	Vilnius	Balsiai	1	1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	233	7	16	2008
390000	Vilnius	Balsiai	1	1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	183	7	16	2009
350000	Vilnius	Balsiai	1	1	2	3	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	200	10	14	1997
1000000	Vilnius	Balsiai	1	1	2	7	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	349	10	15	2001
469000	Vilnius	Balsiai	1	1	2	6	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Murinis	240	7	14	1995
800000	Vilnius	Balsiai	1	1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	210	5	15	2010
855000	Vilnius	Balsiai	1	1	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	433	10	15	1992
550000	Vilnius	Balsiai	1	1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	262	10	14	2009
2500000	Vilnius	Senamiestis	4	3	4	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	257	7	2	2007
1600000	Vilnius	Senamiestis	4	3	4	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	185	1	2	1996
1190000	Vilnius	Senamiestis	4	3	4	3	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	130	1	2	1980
2300000	Vilnius	Senamiestis	4	3	4	5	Kotedzas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	215	3	2	1600
995000	Vilnius	Senamiestis	4	3	4	7	Kotedzas	1	Reikia	0	2	Irengtas	Nenauja	Murinis	Murinis	250	2	2	1899
1500000	Vilnius	Senamiestis	4	3	4	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	168	2	2	2004
3450000	Vilnius	Senamiestis	4	3	4	10	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	411	3	3	2007
