Kaina	Miestas	Rajonas	Raj	Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ir	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai	Nuoroda	Skelbimas
850000	Vilnius	Traku Voke	2	1		4	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	264	15	15	2009	http://www.skelbiu.lt/skelbimai/aprasymas-parduodamas-irengtas-aprasymas-12243632.html	file:///C:/Users/Dovile/Desktop/Namai/26.html
195000	Vilnius	Pavilnys	1	1		5	Namas	1	Reikia	1	2	Árengtas	Nenauja	Murinis	Murinis	123	6	8	1997	http://www.skelbiu.lt/skelbimai/bendras-busto-plotas-bendras-busto-plotas-su-12342868.html	file:///C:/Users/Dovile/Desktop/Namai/27.html
499000	Vilnius	Salininkai	1	1		5	Namas	3	Reikia	0	2	Dalinai árengtas	Nauja	Murinis	Murinis	161	19	13	2007	http://www.skelbiu.lt/skelbimai/parduodamas-dalinai-irengtas-namas-parduodamas-12242697.html	file:///C:/Users/Dovile/Desktop/Namai/28.html
600000	Vilnius	Bajorai	2	1		4	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Blokinis	190	6	11	2008	http://www.skelbiu.lt/skelbimai/parduodamas-2008-m-statybos-parduodamas-2008-m-11639973.html	file:///C:/Users/Dovile/Desktop/Namai/29.html
660000	Vilnius	Visoriai	2	1		4	Kotedzas	4	Nereikia	1	3	Árengtas	Nauja	Murinis	Murinis	172	3	10	2009	http://www.skelbiu.lt/skelbimai/2009-m-statybos-2009-m-statybos-irengtas-kotedzas-12223910.html	file:///C:/Users/Dovile/Desktop/Namai/30.html
650000	Vilnius	Antakalnis	2	1		6	Namas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	192	6	8	2007	http://www.skelbiu.lt/skelbimai/vilnius-namo-tipas-murinis-irengimas-pilnai-12342875.html	file:///C:/Users/Dovile/Desktop/Namai/31.html
499000	Vilnius	Vilkpede	2	1		5	Namas	2	Nereikia	1	3	Árengtas	Nenauja	Murinis	Murinis	303	11	9	1989	http://www.skelbiu.lt/skelbimai/parduodamas-namas-su-sklypu-parduodamas-namas-su-12189654.html	file:///C:/Users/Dovile/Desktop/Namai/33.html
1379000	Vilnius	Zverynas	4	3		4	Kotedzas	4	Nereikia	0	3	Árengtas	Nauja	Murinis	Murinis	133	3	3	2007	http://www.aruodas.lt/namas/vilniuje/parduodamas-pilnai-irengtas-kotedzas-zveryne-lenk/2-243016	file:///C:/Users/Dovile/Desktop/Namai/36.htm
700000	Vilnius	Zverynas	4	3		3	Kotedzas	1	Reikia	0	2	Árengtas	Nenauja	Murinis	Murinis	79	3	4	1970	http://www.aruodas.lt/namas/vilniuje/parduodu-3-kambariu-73-kvm-buta-nuosavo-murinio/2-241464	file:///C:/Users/Dovile/Desktop/Namai/37.htm
3500000	Vilnius	Zverynas	4	3		7	Namas	2	Nereikia	0	3	Árengtas	Nenauja	Murinis	Murinis	360	6	3	1997	http://www.aruodas.lt/namas/vilniuje/puikus-namas-su-baseinu-pirtimi-garazu-dviem-aut/2-242593	file:///C:/Users/Dovile/Desktop/Namai/38.htm
140000	Vilnius	Zirmunai	1	1		2	Namas	1	Reikia	0	2	Árengtas	Nenauja	Nemurinis	Medinis	52	3	3	1940	http://www.aruodas.lt/namas/vilniuje/parduodamas-2k-butas-nuosavame-name-butui-priklau/2-240281	file:///C:/Users/Dovile/Desktop/Namai/35.htm
480000	Vilnius	Zirmunai	1	1		5	Kotedzas	3	Reikia	0	1	Dalinai árengtas	Nauja	Murinis	Murinis	107	3	3	2011	http://www.aruodas.lt/namas/vilniuje/parduodamas-dvieju-aukstu-5-kambariu-kotedzas-tusk/2-238895	file:///C:/Users/Dovile/Desktop/Namai/41.html
590000	Vilnius	Antakalnis	2	1		4	Kotedzas	3	Reikia	0	1	Dalinai árengtas	Nauja	Murinis	Murinis	170	2	6	2011	http://www.skelbiu.lt/skelbimai/parduodamas-kokybiskos-statybos-parduodamas-12231940.html	file:///C:/Users/Dovile/Desktop/Namai/43.html
2100000	Vilnius	Valakampiai	4	3		6	Namas	4	Nereikia	0	4	Árengtas	Nauja	Murinis	Murinis	247	3	8	2005	http://www.aruodas.lt/namas/vilniuje/valakampiuose-zuvedru-g-pusyne-parduodamas-sub/2-242678	file:///C:/Users/Dovile/Desktop/Namai/44.htm
6999999	Vilnius	Valakampiai	4	3		7	Namas	4	Nereikia	0	4	Árengtas	Nauja	Murinis	Murinis	388	30	7	2005	http://www.aruodas.lt/namas/vilniuje/3-8-8-kvm-vienas-prabangiausiu-namu-vilniuje-su/2-242564	file:///C:/Users/Dovile/Desktop/Namai/45.htm
900000	Vilnius	Valakampiai	4	3		5	Namas	3	Reikia	0	1	Dalinai árengtas	Nauja	Murinis	Murinis	230	14	8	2008	http://www.aruodas.lt/namas/vilniuje/parduodamas-23-m-individualus-namas-su-3-m-uki/2-240839	file:///C:/Users/Dovile/Desktop/Namai/46.htm
4999999	Vilnius	Valakampiai	4	3		6	Namas	4	Nereikia	0	4	Árengtas	Nauja	Murinis	Murinis	370	3	8	2007	http://www.aruodas.lt/namas/vilniuje/3-7-kvm-vienas-prabangiausiu-bustu-vilniuje-n/2-242559	file:///C:/Users/Dovile/Desktop/Namai/47.htm
299000	Vilnius	Zemieji Paneriai	1	1		2	Namas	1	Reikia	0	2	Árengtas	Nenauja	Nemurinis	Medinis	42	11	8	1956	http://www.aruodas.lt/namas/vilniuje/rami-grazi-vietasalia-nera-judrios-gatves-patog/2-186739	file:///C:/Users/Dovile/Desktop/Namai/48.htm
220000	Vilnius	Zemieji Paneriai	1	1		2	Namas	1	Reikia	0	2	Árengtas	Nenauja	Nemurinis	Medinis	53	8	11	1940	http://www.aruodas.lt/namas/vilniuje/parduodamas-765-aro-namu-valdos-zemes-sklypas-uz/2-242920	file:///C:/Users/Dovile/Desktop/Namai/49.htm
400000	Vilnius	Zemieji Paneriai	1	1		6	Namas	1	Reikia	0	2	Árengtas	Nenauja	Mûrinis	Murinis	130	7	8	1974	http://www.aruodas.lt/namas/vilniuje/parduodamas-murinis-2-aukstu-13-m-sublokuotas/2-235768	file:///C:/Users/Dovile/Desktop/Namai/50.htm
