Kaina;Miestas;Rajonas;Kamb. Sk;Tipas;Remontas;Árengtumas;Nauja statyba ar ne;Mûrinis ar ne;Namo tipas;Namo plotas;Sklypo plotas;Atstumas iki centro (km);Pastatymo metai;Nuoroda;Skelbimas
360000;Vilnius; Bandorëliai;5;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Blokinis;120;6;4;2011;http://www.skelbiu.lt/skelbimai/namas-vilniuje-370-000-lt-bendoreliai-7388598.html;file:///C:/Users/Dovile/Desktop/Namai/19.html
1290000;Vilnius;Verkiai;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;195;12;7;2006;http://www.skelbiu.lt/skelbimai/parduodamas-puikus-1-9-5-kv-m-parduodamas-puikus-12349706.html;file:///C:/Users/Dovile/Desktop/Namai/20.html
1999999;Vilnius; Þvërynas;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;280;8;3;2004;http://www.skelbiu.lt/skelbimai/apie-nama-parduodamas-2-8-0-kv-m-apie-nama-12349713.html;file:///C:/Users/Dovile/Desktop/Namai/21.html
837000;Vilnius;Bajorai;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;240;6;11;2009;http://www.skelbiu.lt/skelbimai/apie-nama-parduodamas-puikus-5-apie-nama-12349724.html;file:///C:/Users/Dovile/Desktop/Namai/22.html
450000;Vilnius;Antakalnis;6;Namas;Reikia;Árengtas;Nenauja;Mûrinis;Blokinis;225;4;4;1994;http://www.skelbiu.lt/skelbimai/bendri-duomenys-s-batoro-g-bendri-duomenys-s-12263449.html;file:///C:/Users/Dovile/Desktop/Namai/23.html
3459000;Vilnius;Senamiestis;10;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;411;3;3;2007;http://www.skelbiu.lt/skelbimai/isskirtinis-namas-senamiestyje-isskirtinis-namas-12261112.html;file:///C:/Users/Dovile/Desktop/Namai/24.html
750000;Vilnius;Baltupiai;4;Kotedþas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;166;2;7;2007;http://www.skelbiu.lt/skelbimai/erdvus-kotedzas-baltupiuose-erdvus-kotedzas-12260889.html;file:///C:/Users/Dovile/Desktop/Namai/25.html
850000;Vilnius;Trakø Vokë;4;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;264;15;15;2009;http://www.skelbiu.lt/skelbimai/aprasymas-parduodamas-irengtas-aprasymas-12243632.html;file:///C:/Users/Dovile/Desktop/Namai/26.html
195000;Vilnius;Pavilnys;5;Namas;Reikia;Árengtas;Nenauja;Mûrinis;Mûrinis;123;6;8;1997;http://www.skelbiu.lt/skelbimai/bendras-busto-plotas-bendras-busto-plotas-su-12342868.html;file:///C:/Users/Dovile/Desktop/Namai/27.html
499000;Vilnius;Salininkai;5;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;161;19;13;2007;http://www.skelbiu.lt/skelbimai/parduodamas-dalinai-irengtas-namas-parduodamas-12242697.html;file:///C:/Users/Dovile/Desktop/Namai/28.html
