Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai
2	2	5	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	194	6	12	2006
2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	222	20	13	2009
2	2	4	Namas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	176	9	13	2008
2	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	231	6	13	2009
3	4	5	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Murinis	125	6	7	1982
3	4	5	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	210	4	8	2011
3	4	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	247	3	8	2005
3	4	7	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	388	30	7	2005
3	4	5	Namas	3	Reikia	0	1	Dalinai irengtas	Nauja	Murinis	Murinis	230	14	8	2008
3	4	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	370	3	8	2007
3	4	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	400	16	7	2007
3	4	4	Kotedzas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	185	3	9	2011
3	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	272	10	9	2010
3	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	301	18	9	2000
3	4	6	Namas	4	Nereikia	0	4	Irengtas	Nenauja	Murinis	Murinis	720	12	10	1996
3	4	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	215	3	10	2008
3	4	6	Namas	3	Reikia	0	2	Irengtas	Nauja	Murinis	Murinis	284	18	9	2010
3	4	6	Namas	3	Reikia	0	2	Irengtas	Nauja	Murinis	Murinis	255	12	13	2008
3	4	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	229	10	12	2008
3	4	6	Kotedzas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	250	12	12	2006
3	4	7	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	242	9	11	1996
3	4	7	Namas	1	Reikia	0	2	Irengtas	Nenauja	Nemurinis	Medinis	166	5	11	1936
1	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	301	15	14	2002
1	2	4	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	182	6	14	2005
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	165	12	14	2006
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	166	6	14	2006
1	2	4	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Blokinis	175	6	15	2008
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	130	3	15	2008
2	2	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	209	7	4	2002
2	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	215	3	4	1992
2	2	6	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	176	8	8	2006
2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	219	7	5	2011
2	2	6	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	223	5	5	1992
2	2	5	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	302	1	4	1993
2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	159	5	4	2011
2	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	210	6	6	2011
2	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	300	6	8	2006
2	2	8	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Murinis	430	12	7	1996
2	2	7	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	223	5	6	1992
2	2	4	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	300	3	6	2000
2	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	312	6	5	1997
2	2	5	Namas	1	Reikia	0	3	Irengtas	Nenauja	Murinis	Murinis	220	7	6	1962
2	2	5	Namas	4	Nereikia	1	4	Irengtas	Nauja	Murinis	Murinis	400	7	7	2000
2	2	3	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	107	1	5	2007
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	160	15	8	2011
1	2	6	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	290	7	8	2007
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	160	7	8	2011
1	2	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	180	6	8	2011
1	2	4	Kotedzas	2	Nereikia	0	4	Irengtas	Nenauja	Murinis	Murinis	224	7	8	1994
1	2	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	Murinis	Murinis	170	9	8	2011
